Rental Price,SqFT,Type,Address
"$1,688+ 3 bds",,APT,"875 Hank Aaron Dr SW, Atlanta, GA"
"$3,530+ 3 bds",,APT,"430 Englewood Ave SE, Atlanta, GA"
"$1,383+ 3 bds",,APT,"55 Milton Ave SE, Atlanta, GA"
"$1,485+ 3 bds",,House for rent,"565 Saint Johns Ave SW, Atlanta, GA"
"$2,549+ 3 bds",,APT,"Saylor at Southside Trail | 45 Boynton Ave SE, Atlanta, GA"
"$2,155/mo","1,632",House for rent,"117 Brown Ave SE, Atlanta, GA 30315"
"$3,300/mo","2,000",House for rent,"1020 Capitol Ave SE, Atlanta, GA 30315"
"$3,250/mo","2,490",House for rent,"210 Ormond St SW, Atlanta, GA 30315"
"$3,400/mo","1,422",House for rent,"1097 Kipling St SE, Atlanta, GA 30315"
"$2,100/mo","1,942",House for rent,"1420 Lakewood Ave SE, Atlanta, GA 30315"
"$2,495/mo","1,500",House for rent,"787 Springdale Pl SW, Atlanta, GA 30315"
"$2,800/mo","1,671",Townhouse for rent,"354 Skylar Ct SE, Atlanta, GA 30315"
"$2,195/mo","1,100",House for rent,"972 Welch St SE, Atlanta, GA 30315"
"$3,000/mo","1,898",Townhouse for rent,"357 Skylar Way SE, Atlanta, GA 30315"
"$1,800/mo","1,025",House for rent,"43 Finch Dr SE, Atlanta, GA 30315"
"$2,695/mo","1,831",Townhouse for rent,"1330 Lakota Pl SE, Atlanta, GA 30315"
"$2,250/mo","1,539",Apartment for rent,"255 Farrington Ave SE #B, Atlanta, GA 30315"
"$1,955/mo","1,296",House for rent,"1867 Conrad Ave SE, Atlanta, GA 30315"
"$2,495/mo","2,328",House for rent,"2534 Preston View Ct SW, Atlanta, GA 30315"
"$1,875/mo","1,200",House for rent,"972 Fern Ave SE, Atlanta, GA 30315"
"$2,000/mo","1,248",House for rent,"377 Wyndham Way SE, Atlanta, GA 30315"
"$1,700/mo","1,263",House for rent,"98 Brown Ave SE, Atlanta, GA 30315"
"$1,599/mo","1,000",House for rent,"939 Redford Dr SE, Atlanta, GA 30315"
"$2,350/mo","2,000",House for rent,"2041 Pryor Rd SW, Atlanta, GA 30315"
"$2,475/mo","1,176",House for rent,"441 Kendrick Ave SE, Atlanta, GA 30315"
"$2,095/mo","1,507",House for rent,"1596 Jonesboro Rd SE, Atlanta, GA 30315"
"$1,850/mo","1,308",House for rent,"2484 Mobley Ct SE, Atlanta, GA 30315"
"$1,845/mo","1,300",Townhouse for rent,"585 McWilliams Rd Unit 602, Atlanta, GA 30315"
"$1,750/mo","1,148",House for rent,"1056 Grant Way SE, Atlanta, GA 30315"
"$3,600/mo","1,977",Townhouse for rent,"1309 Lakota Pl SE #1309, Atlanta, GA 30315"
"$2,200/mo","1,316",House for rent,"2867 1st Ave SW, Atlanta, GA 30315"
"$3,500/mo","1,054",House for rent,"2323 Polar Rock Ave SW, Atlanta, GA 30315"
"$2,200/mo","2,178",House for rent,"194 Hendrix Ave SW, Atlanta, GA 30315"
"$3,600/mo","1,977",Townhouse for rent,"1303 Lakota Pl SE #1303, Atlanta, GA 30315"
"$3,600/mo","1,134",House for rent,"62 Weyman Ave SW, Atlanta, GA 30315"
"$2,200/mo","1,750",House for rent,"486 Pegg Rd SW, Atlanta, GA 30315"
